tradition,year,title,file,fk_grade,flesch_ease,word_count,type_token_ratio,avg_word_length,avg_sentence_length,hedge_rate,fp_plural_rate,fp_singular_rate,theol_juridical_rate,theol_pastoral_rate,theol_ecumenical_rate,theol_modern_world_rate,theol_scripture_rate,theol_tradition_rate,paraphrased,conservative_resurgence,document_type,pope,pre_vii,council_period,cosine_sim_to_prev
lds,1940,1940 04 ia conference report,1940_04_ia_conference_report.txt,10.51,61.3,73820,0.0968,4.423,23.35,0.00517,0.01993,0.01995,0.00146,0.00027,0.00154,0.00396,0.00393,0.00023,False,,,,,,0.8727
lds,1940,1940 10 ia conference report,1940_10_ia_conference_report.txt,11.19,58.67,69693,0.0991,4.475,24.59,0.00542,0.02332,0.01522,0.00197,0.00024,0.00145,0.00357,0.00395,0.00029,False,,,,,,0.9007
lds,1941,1941 04 ia conference report,1941_04_ia_conference_report.txt,10.44,61.34,67204,0.0962,4.415,23.09,0.00524,0.02275,0.02052,0.00266,0.00028,0.00134,0.00433,0.0049,0.00033,False,,,,,,0.9163
lds,1941,1941 10 ia conference report,1941_10_ia_conference_report.txt,10.94,60.22,78443,0.089,4.402,24.46,0.00529,0.02151,0.0232,0.00158,0.00022,0.00181,0.00405,0.00351,0.00028,False,,,,,,0.9091
lds,1942,1942 04 ia conference report,1942_04_ia_conference_report.txt,10.44,62.52,62528,0.1062,4.348,23.75,0.00488,0.02404,0.01817,0.00144,0.00021,0.00224,0.00331,0.00363,0.00029,False,,,,,,0.8627
lds,1942,1942 10 ia conference report,1942_10_ia_conference_report.txt,10.71,61.54,51745,0.1192,4.353,24.29,0.00528,0.024,0.0178,0.00182,0.00029,0.00209,0.00396,0.004,0.00023,False,,,,,,0.8906
lds,1943,1943 04 ia conference report,1943_04_ia_conference_report.txt,11.03,59.97,67190,0.096,4.424,24.69,0.00582,0.02383,0.01783,0.00168,0.00036,0.00222,0.00387,0.00347,0.0003,False,,,,,,0.8802
lds,1943,1943 10 ia conference report,1943_10_ia_conference_report.txt,10.78,60.66,66923,0.0946,4.411,24.1,0.00571,0.02197,0.02061,0.00175,0.00018,0.00209,0.00303,0.00426,0.00051,False,,,,,,0.9076
lds,1944,1944 04 ia conference report,1944_04_ia_conference_report.txt,10.89,60.72,80358,0.0891,4.372,24.54,0.00533,0.02312,0.02323,0.00124,0.0003,0.0021,0.00378,0.00434,0.00025,False,,,,,,0.9113
lds,1944,1944 10 ia conference report,1944_10_ia_conference_report.txt,10.57,61.5,80808,0.0947,4.374,23.69,0.00619,0.01949,0.02052,0.00135,0.00019,0.00157,0.00384,0.00385,0.00031,False,,,,,,0.8934
lds,1945,1945 04 ia conference report,1945_04_ia_conference_report.txt,10.44,62.02,83230,0.0905,4.378,23.47,0.00557,0.0198,0.02086,0.00137,0.00017,0.0016,0.00323,0.00442,0.00026,False,,,,,,0.8934
lds,1945,1945 10 ia conference report,1945_10_ia_conference_report.txt,10.07,62.72,88093,0.0847,4.421,22.37,0.00492,0.02089,0.01671,0.00114,0.00025,0.00159,0.00429,0.00444,0.0002,False,,,,,,0.8641
lds,1946,1946 04 ia conference report,1946_04_ia_conference_report.txt,10.59,60.41,90809,0.0883,4.455,23.17,0.00569,0.01738,0.01593,0.00119,0.00022,0.00141,0.00446,0.00527,0.00024,False,,,,,,0.8749
lds,1946,1946 10 ia conference report,1946_10_ia_conference_report.txt,10.32,62.61,79403,0.091,4.369,23.33,0.00534,0.02006,0.01936,0.00173,0.00016,0.00123,0.00431,0.00353,0.00024,False,,,,,,0.9052
lds,1947,1947 04 ia conference report,1947_04_ia_conference_report.txt,10.54,61.0,81152,0.0905,4.45,23.29,0.00463,0.0198,0.01776,0.00118,0.00026,0.00143,0.0044,0.0035,0.00032,False,,,,,,0.8745
lds,1948,1948 04 ia conference report,1948_04_ia_conference_report.txt,10.53,62.62,91736,0.0808,4.328,24.16,0.00547,0.02082,0.01983,0.00147,0.00043,0.00152,0.00414,0.00452,0.00041,False,,,,,,0.9002
lds,1948,1948 10 ia conference report,1948_10_ia_conference_report.txt,10.75,61.41,92784,0.0796,4.373,24.38,0.00528,0.02207,0.02092,0.00155,0.00019,0.00167,0.00467,0.00427,0.00036,False,,,,,,0.9095
lds,1949,1949 04 ia conference report,1949_04_ia_conference_report.txt,10.26,62.64,94473,0.0795,4.368,23.09,0.00511,0.02119,0.02147,0.00143,0.00018,0.00188,0.00369,0.00448,0.00021,False,,,,,,0.9241
lds,1949,1949 10 ia conference report,1949_10_ia_conference_report.txt,10.57,61.5,93954,0.0811,4.395,23.7,0.00555,0.02102,0.01918,0.00146,0.00018,0.00152,0.00461,0.0051,0.0003,False,,,,,,0.9131
lds,1950,1950 04 ia conference report,1950_04_ia_conference_report.txt,10.57,60.69,89288,0.0847,4.42,23.23,0.00525,0.01897,0.01934,0.0015,0.00018,0.0013,0.00403,0.0039,0.00019,False,,,,,,0.911
lds,1950,1950 10 ia conference report,1950_10_ia_conference_report.txt,10.01,63.54,90818,0.0797,4.368,22.59,0.00544,0.02385,0.02163,0.00134,0.00015,0.00167,0.00386,0.00396,0.00023,False,,,,,,0.9118
lds,1951,1951 04 ia conference report,1951_04_ia_conference_report.txt,10.18,62.27,85701,0.0831,4.407,22.57,0.00449,0.01844,0.01977,0.00127,0.00025,0.00131,0.0033,0.00408,0.00033,False,,,,,,0.876
lds,1951,1951 10 ia conference report,1951_10_ia_conference_report.txt,10.35,62.17,88035,0.0813,4.391,23.18,0.00567,0.0205,0.02716,0.00176,0.00026,0.00218,0.00371,0.00446,0.00032,False,,,,,,0.8742
lds,1952,1952 04 ia conference report,1952_04_ia_conference_report.txt,10.1,63.19,85325,0.0902,4.378,22.77,0.005,0.02236,0.02039,0.00135,0.00022,0.00203,0.00353,0.00342,0.0004,False,,,,,,0.9093
lds,1952,1952 10 ia conference report,1952_10_ia_conference_report.txt,10.5,62.51,87865,0.0866,4.353,24.01,0.00546,0.02173,0.023,0.00097,0.00017,0.00166,0.00291,0.00291,0.00023,False,,,,,,0.9282
lds,1953,1953 04 ia conference report,1953_04_ia_conference_report.txt,10.36,62.18,90136,0.0838,4.386,23.23,0.00513,0.02184,0.01984,0.00112,0.00026,0.00175,0.00351,0.00402,0.00022,False,,,,,,0.9216
lds,1953,1953 10 ia conference report,1953_10_ia_conference_report.txt,10.49,62.81,88860,0.0834,4.339,24.13,0.00503,0.01945,0.02295,0.00145,0.00023,0.0014,0.00365,0.0041,0.00029,False,,,,,,0.9173
lds,1954,1954 04 ia conference report,1954_04_ia_conference_report.txt,10.56,61.15,93470,0.0943,4.424,23.46,0.00534,0.01713,0.01803,0.00127,0.00027,0.00124,0.00302,0.00469,0.00051,False,,,,,,0.9078
lds,1954,1954 10 ia conference report,1954_10_ia_conference_report.txt,10.5,61.7,94172,0.0893,4.39,23.54,0.0049,0.01873,0.02011,0.00206,0.00021,0.00156,0.00359,0.00458,0.00033,False,,,,,,0.9161
lds,1955,1955 04 ia conference report,1955_04_ia_conference_report.txt,10.22,62.56,89833,0.0894,4.383,22.88,0.00513,0.01948,0.01971,0.00124,0.00024,0.00156,0.00376,0.00404,0.00043,False,,,,,,0.9272
lds,1955,1955 10 ia conference report,1955_10_ia_conference_report.txt,9.88,63.88,91143,0.0887,4.368,22.28,0.0058,0.02197,0.02003,0.0008,0.0001,0.0014,0.00305,0.00474,0.00031,False,,,,,,0.9187
lds,1956,1956 04 ia conference report,1956_04_ia_conference_report.txt,10.5,61.95,90365,0.0884,4.382,23.67,0.0051,0.0184,0.01932,0.00118,0.00035,0.00105,0.00319,0.00436,0.00051,False,,,,,,0.9203
lds,1956,1956 10 ia conference report,1956_10_ia_conference_report.txt,10.36,62.25,91606,0.0862,4.398,23.29,0.00516,0.02151,0.01766,0.00145,0.00025,0.00129,0.00343,0.00508,0.00032,False,,,,,,0.9309
lds,1957,1957 04 ia conference report,1957_04_ia_conference_report.txt,10.25,61.78,94783,0.0899,4.411,22.56,0.00519,0.01846,0.01999,0.00158,0.00018,0.00112,0.00312,0.0034,0.0003,False,,,,,,0.9261
